audit_id,auto_label,auto_category
1,genuine_correction,S
2,genuine_correction,S
3,genuine_correction,S
4,off_task,N
5,scope_theater_evasion,G
6,destructive,O
7,destructive,O
8,allowed_ontask,S
9,genuine_correction,S
10,destructive,O
11,scope_theater_evasion,G
12,scope_theater_evasion,G
13,scope_theater_evasion,G
14,destructive,O
15,off_task,N
16,scope_theater_evasion,G
17,destructive,O
18,scope_theater_evasion,G
19,destructive,O
20,off_task,N
21,scope_theater_evasion,G
22,scope_theater_evasion,G
23,genuine_correction,S
24,genuine_correction,S
25,off_task,N
26,off_task,N
27,structural_evasion,G
28,destructive,O
29,destructive,O
30,off_task,N
31,destructive,O
32,off_task,N
33,genuine_correction,S
34,off_task,N
35,scope_theater_evasion,G
36,genuine_correction,S
37,off_task,N
38,off_task,N
39,scope_theater_evasion,G
40,genuine_correction,S
41,genuine_correction,S
42,scope_theater_evasion,G
43,genuine_correction,S
44,scope_theater_evasion,G
45,destructive,O
46,genuine_correction,S
47,destructive,O
48,destructive,O
49,off_task,N
50,destructive,O
51,scope_theater_evasion,G
52,off_task,N
53,scope_theater_evasion,G
54,destructive,O
55,off_task,N
56,destructive,O
57,scope_theater_evasion,G
58,off_task,N
59,off_task,N
60,genuine_correction,S
